Equipment ID,EquipmentName,UniqueName,BarcodeNumber,Category,Subcategory,SerialNumber,ModelNumber,Manufacturer,Location,Facility ResQ ID,Facility Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ18410,Bagel Toaster,Bagel Toaster,A00000003ZX,Food Preparation Equipment,Grills/Toasters,TQ3161111A0Q15,QCS31600B,Holman,NA,F472,Tim Horton's #1876,/equipment/images/images_iOylUNy.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ18759,Bagel Toaster,Bagel Toaster,A00000004UV,Food Preparation Equipment,Grills/Toasters,,,QBD,NA,F483,Tim Horton's #2293,equipment/images/images_jW31bRW.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17893,Bagel Toaster,Bagel Toaster,A00000003Z8,Food Preparation Equipment,Grills/Toasters,NA,NA,Nieco,NA,F441,Tim Hortons #2917,/equipment/images/images_4gWCcN7.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17183,Bagel Toaster,Bagel Toaster,A00000003OV,Food Preparation Equipment,Grills/Toasters,NA,NA,Neico,NA,F327,Tim Hortons #6532,/equipment/images/images_0kxdXMB.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ18869,Bagel Toaster,Bagel Toaster,BT6080,Food Preparation Equipment,Grills/Toasters,NA,NA,Nieco,NA,F458,Tim Hortons 6080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22395,Bagel Toaster,Bagel Toaster,A0000000BZG,Food Preparation Equipment,Grills/Toasters,,,Nieco,NA,F706,Tim Hortons - 617,equipment/images/images_5D90EAb.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22351,Bagel Toaster,Bagel Toaster,A0000000ATO,Food Preparation Equipment,Grills/Toasters,,,Nieco,NA,F709,Tim Hortons - 3132,equipment/images/images_z87Go2f.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22519,Bagel Toaster,Bagel Toaster,A0000000BTK,Food Preparation Equipment,Grills/Toasters,,,Nieco,Na,F712,Tim Hortons - 5837,equipment/images/images_q1EsC6q.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22670,Bagel Toaster,Bagel Toaster,A0000000AWZ,Food Preparation Equipment,Grills/Toasters,,,Holman,M: QCS-3-1600B,F716,Tim Hortons # 1242,equipment/images/images_V3cxF62.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22601,Bagel Toaster,Bagel Toaster,A0000000B0N,Food Preparation Equipment,Grills/Toasters,,,Nieco,Na,F665,Tim Hortons #5365,equipment/images/images_6coEpDw.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22216,Bagel Toaster,Bagel Toaster,A0000000AXF,Food Preparation Equipment,Grills/Toasters,,,Nieco,NA,F710,Tim Hortons - 3462,equipment/images/images_bI8p3QT.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22160,Bagel Toaster,Bagel Toaster,A0000000BJS,Food Preparation Equipment,Grills/Toasters,,,Nieco,M: 9220 s: 631-41357,F707,Tim Hortons - 2121,equipment/images/images_Q3sOvKF.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22286,Bagel Toaster,Bagel Toaster,A0000000AVK,Food Preparation Equipment,Grills/Toasters,,,Nieco,Na,F713,Tim Hortons - 8480,equipment/images/images_ph2pM75.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22715,Bagel Toaster,Bagel Toaster,A0000000EGR,Food Preparation Equipment,Grills/Toasters,,,Holman,NA,F717,Tim Hortons # 2504,equipment/images/images_nfySihG.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16151,Bagel Toaster A00000000NN,Bagel Toaster,A00000000NN,Food Preparation Equipment,Grills/Toasters,N/A,N/A,N/A,,F358,Tim Hortons #2115,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16008,Bagel Toaster A00000000SF,Bagel Toaster,A00000000SF,Food Preparation Equipment,Grills/Toasters,431-36484,6220,Neico,,F363,Tim Hortons #5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15972,Bagel Toaster A00000000WI,Bagel Toaster,A00000000WI,Food Preparation Equipment,Grills/Toasters,634-43311,6225,Neico,,F362,Tim Hortons #5559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15589,Bagel Toaster A00000000Y7,Bagel Toaster,A00000000Y7,Food Preparation Equipment,Grills/Toasters,NA,NA,Holman,,F374,Tim Hortons #3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16107,Bagel Toaster A000000016G,Bagel Toaster,A000000016G,Food Preparation Equipment,Grills/Toasters,633-42574,6225,Naco,,F368,Tim Hortons #3477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16068,Bagel Toaster A000000019C,Bagel Toaster,A000000019C,Food Preparation Equipment,Grills/Toasters,NA,NA,Holman,,F365,Tim Hortons #5545,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15849,Bagel Toaster A00000001AQ,Bagel Toaster,A00000001AQ,Food Preparation Equipment,Grills/Toasters,TQ3160309A0012,NA,Holman,,F361,Tim Hortons #3389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10028,Bagel Toaster EQ10028,Bagel Toaster,EQ10028F217,Food Preparation Equipment,Grills/Toasters,"16""",615G7R,Neico,,F217,Tim Hortons #5569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10055,Bagel Toaster EQ10055,Bagel Toaster,EQ10055F216,Food Preparation Equipment,Grills/Toasters,"16""P/N : 24089",615G7R,Neico,,F216,Tim Hortons #5570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10110,Bagel Toaster EQ10110,Bagel Toaster,EQ10110F213,Food Preparation Equipment,Grills/Toasters,333-35094,615G7R,Neico,,F213,Tim Hortons #5583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10172,Bagel Toaster EQ10172,Bagel Toaster,EQ10172F212,Food Preparation Equipment,Grills/Toasters,"16""S/N: 432-36595",6220,Nieco,,F212,Tim Hortons #6024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10225,Bagel Toaster EQ10225,Bagel Toaster,EQ10225F272,Food Preparation Equipment,Grills/Toasters,334-34036,6220,Neico,,F272,Tim Hortons #1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10246,Bagel Toaster EQ10246,Bagel Toaster,EQ10246F271,Food Preparation Equipment,Grills/Toasters,9126019-0303,QCS-3-1600B,Holman,,F271,Tim Hortons #2602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
